"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Warren County, NC"	"37185"	"2017"	"2017"	Suppressed	19883	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2006"	"2006"	Suppressed	13305	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2007"	"2007"	Suppressed	13176	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2008"	"2008"	Suppressed	13300	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2009"	"2009"	Suppressed	13252	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2010"	"2010"	Suppressed	13228	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2011"	"2011"	Suppressed	12973	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2012"	"2012"	Suppressed	12736	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2013"	"2013"	Suppressed	12722	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2014"	"2014"	Suppressed	12570	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2015"	"2015"	Suppressed	12385	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2016"	"2016"	Suppressed	12195	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NC"	"37187"	"2017"	"2017"	Suppressed	12012	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2006"	"2006"	Suppressed	47748	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2007"	"2007"	Suppressed	48765	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2008"	"2008"	Suppressed	50266	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2009"	"2009"	Suppressed	50706	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2010"	"2010"	Suppressed	51079	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2011"	"2011"	Suppressed	51333	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2012"	"2012"	Suppressed	51871	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2013"	"2013"	Suppressed	52372	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2014"	"2014"	Suppressed	52560	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2015"	"2015"	Suppressed	52906	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2016"	"2016"	Suppressed	53922	Suppressed	Suppressed	Suppressed	Suppressed
	"Watauga County, NC"	"37189"	"2017"	"2017"	Suppressed	55121	Suppressed	Suppressed	Suppressed	Suppressed
	"Wayne County, NC"	"37191"	"2006"	"2006"	Suppressed	117534	Suppressed	Suppressed	Suppressed	Suppressed
	"Wayne County, NC"	"37191"	"2007"	"2007"	10	118942	Unreliable	2.66	Unreliable	2.78
	"Wayne County, NC"	"37191"	"2008"	"2008"	11	119910	Unreliable	2.77	Unreliable	2.85
	"Wayne County, NC"	"37191"	"2009"	"2009"	Suppressed	121217	Suppressed	Suppressed	Suppressed	Suppressed
	"Wayne County, NC"	"37191"	"2010"	"2010"	10	122623	Unreliable	2.58	Unreliable	2.69
	"Wayne County, NC"	"37191"	"2011"	"2011"	15	123697	Unreliable	3.13	Unreliable	3.38
	"Wayne County, NC"	"37191"	"2012"	"2012"	Suppressed	124246	Suppressed	Suppressed	Suppressed	Suppressed
	"Wayne County, NC"	"37191"	"2013"	"2013"	11	124583	Unreliable	2.66	Unreliable	2.83
	"Wayne County, NC"	"37191"	"2014"	"2014"	Suppressed	124456	Suppressed	Suppressed	Suppressed	Suppressed
	"Wayne County, NC"	"37191"	"2015"	"2015"	11	124132	Unreliable	2.67	Unreliable	3.12
	"Wayne County, NC"	"37191"	"2016"	"2016"	19	124150	Unreliable	3.51	Unreliable	3.81
	"Wayne County, NC"	"37191"	"2017"	"2017"	21	124172	16.91	3.69	19.03	4.24
	"Wilkes County, NC"	"37193"	"2006"	"2006"	18	68489	Unreliable	6.19	Unreliable	6.86
	"Wilkes County, NC"	"37193"	"2007"	"2007"	18	68966	Unreliable	6.15	Unreliable	6.71
	"Wilkes County, NC"	"37193"	"2008"	"2008"	27	69317	38.95	7.50	41.51	8.11
	"Wilkes County, NC"	"37193"	"2009"	"2009"	30	69258	43.32	7.91	45.98	8.55
	"Wilkes County, NC"	"37193"	"2010"	"2010"	16	69340	Unreliable	5.77	Unreliable	6.10
	"Wilkes County, NC"	"37193"	"2011"	"2011"	Suppressed	68984	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilkes County, NC"	"37193"	"2012"	"2012"	15	69306	Unreliable	5.59	Unreliable	6.25
	"Wilkes County, NC"	"37193"	"2013"	"2013"	19	69023	Unreliable	6.32	Unreliable	6.70
	"Wilkes County, NC"	"37193"	"2014"	"2014"	28	68838	40.68	7.69	41.32	8.09
	"Wilkes County, NC"	"37193"	"2015"	"2015"	25	68502	36.50	7.30	34.50	7.22
	"Wilkes County, NC"	"37193"	"2016"	"2016"	28	68740	40.73	7.70	39.14	7.76
	"Wilkes County, NC"	"37193"	"2017"	"2017"	16	68576	Unreliable	5.83	Unreliable	6.91
	"Wilson County, NC"	"37195"	"2006"	"2006"	Suppressed	77379	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilson County, NC"	"37195"	"2007"	"2007"	Suppressed	78474	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilson County, NC"	"37195"	"2008"	"2008"	Suppressed	79790	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilson County, NC"	"37195"	"2009"	"2009"	Suppressed	80664	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilson County, NC"	"37195"	"2010"	"2010"	Suppressed	81234	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilson County, NC"	"37195"	"2011"	"2011"	Suppressed	81452	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilson County, NC"	"37195"	"2012"	"2012"	Suppressed	81867	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilson County, NC"	"37195"	"2013"	"2013"	Suppressed	81667	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilson County, NC"	"37195"	"2014"	"2014"	Suppressed	81401	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilson County, NC"	"37195"	"2015"	"2015"	Suppressed	81714	Suppressed	Suppressed	Suppressed	Suppressed
	"Wilson County, NC"	"37195"	"2016"	"2016"	13	81661	Unreliable	4.42	Unreliable	5.18
	"Wilson County, NC"	"37195"	"2017"	"2017"	14	81671	Unreliable	4.58	Unreliable	4.74
	"Yadkin County, NC"	"37197"	"2006"	"2006"	Suppressed	37881	Suppressed	Suppressed	Suppressed	Suppressed
	"Yadkin County, NC"	"37197"	"2007"	"2007"	Suppressed	37965	Suppressed	Suppressed	Suppressed	Suppressed
	"Yadkin County, NC"	"37197"	"2008"	"2008"	Suppressed	38225	Suppressed	Suppressed	Suppressed	Suppressed
	"Yadkin County, NC"	"37197"	"2009"	"2009"	Suppressed	38293	Suppressed	Suppressed	Suppressed	Suppressed
	"Yadkin County, NC"	"37197"	"2010"	"2010"	Suppressed	38406	Suppressed	Suppressed	Suppressed	Suppressed
	"Yadkin County, NC"	"37197"	"2011"	"2011"	Suppressed	38279	Suppressed	Suppressed	Suppressed	Suppressed
	"Yadkin County, NC"	"37197"	"2012"	"2012"	Suppressed	38084	Suppressed	Suppressed	Suppressed	Suppressed
	"Yadkin County, NC"	"37197"	"2013"	"2013"	Suppressed	38038	Suppressed	Suppressed	Suppressed	Suppressed
	"Yadkin County, NC"	"37197"	"2014"	"2014"	12	37792	Unreliable	9.17	Unreliable	9.75
	"Yadkin County, NC"	"37197"	"2015"	"2015"	Suppressed	37585	Suppressed	Suppressed	Suppressed	Suppressed
	"Yadkin County, NC"	"37197"	"2016"	"2016"	Suppressed	37532	Suppressed	Suppressed	Suppressed	Suppressed
	"Yadkin County, NC"	"37197"	"2017"	"2017"	Suppressed	37774	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2006"	"2006"	Suppressed	17814	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2007"	"2007"	Suppressed	18000	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2008"	"2008"	Suppressed	18016	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2009"	"2009"	Suppressed	17931	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2010"	"2010"	Suppressed	17818	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2011"	"2011"	Suppressed	17701	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2012"	"2012"	Suppressed	17630	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2013"	"2013"	Suppressed	17566	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2014"	"2014"	Suppressed	17614	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2015"	"2015"	Suppressed	17587	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2016"	"2016"	Suppressed	17678	Suppressed	Suppressed	Suppressed	Suppressed
	"Yancey County, NC"	"37199"	"2017"	"2017"	Suppressed	17744	Suppressed	Suppressed	Suppressed	Suppressed
