geo_description,year,type,subtype,estimate,se
North Carolina,2013,Poverty and Conc Poverty,Total Population,0.12223216779472176,0.0016453029800981233
North Carolina,2018,Poverty and Conc Poverty,Total Population,0.08178554531680522,0.0014152844116598017
"Durham County, NC",2013,Poverty and Conc Poverty,Total Population,0.25026160822373145,0.013530398221462897
"Forsyth County, NC",2013,Poverty and Conc Poverty,Total Population,0.2536315641498235,0.009361786306412767
"Guilford County, NC",2013,Poverty and Conc Poverty,Total Population,0.25280969819421645,0.008347700762932226
"Durham County, NC",2018,Poverty and Conc Poverty,Total Population,0.16686251468860164,0.013201472380491689
"Forsyth County, NC",2018,Poverty and Conc Poverty,Total Population,0.18701690441777163,0.008877895584066781
"Guilford County, NC",2018,Poverty and Conc Poverty,Total Population,0.1829245645095393,0.010562490356376006
