geo_description,label,year,description,estimate,moe,se,cv
"Guilford County, NC",HD01_VD03,2015,Estimate; Quintile Upper Limits: - Second Quintile,37337,2539.06,1295.44,3.47
United States,HD01_VD04,2015,Estimate; Quintile Upper Limits: - Third Quintile,70323,109.62,55.93,0.08
North Carolina,HD01_VD04,2015,Estimate; Quintile Upper Limits: - Third Quintile,60250,517.11,263.83,0.44
"Durham County, NC",HD01_VD04,2015,Estimate; Quintile Upper Limits: - Third Quintile,68538,3908.09,1993.92,2.91
"Forsyth County, NC",HD01_VD04,2015,Estimate; Quintile Upper Limits: - Third Quintile,59995,3719.83,1897.87,3.16
"Guilford County, NC",HD01_VD04,2015,Estimate; Quintile Upper Limits: - Third Quintile,58537,3818.72,1948.33,3.33
United States,HD01_VD05,2015,Estimate; Quintile Upper Limits: - Fourth Quintile,112145,132.26,67.48,0.06
North Carolina,HD01_VD05,2015,Estimate; Quintile Upper Limits: - Fourth Quintile,97313,856.68,437.08,0.45
"Durham County, NC",HD01_VD05,2015,Estimate; Quintile Upper Limits: - Fourth Quintile,110940,6996.43,3569.61,3.22
"Forsyth County, NC",HD01_VD05,2015,Estimate; Quintile Upper Limits: - Fourth Quintile,96721,4251.23,2168.99,2.24
"Guilford County, NC",HD01_VD05,2015,Estimate; Quintile Upper Limits: - Fourth Quintile,95737,4021.28,2051.67,2.14
United States,HD01_VD06,2015,Estimate; Lower Limit of Top 5 Percent,210737,440.85,224.92,0.11
North Carolina,HD01_VD06,2015,Estimate; Lower Limit of Top 5 Percent,181181,1881.36,959.88,0.53
"Durham County, NC",HD01_VD06,2015,Estimate; Lower Limit of Top 5 Percent,201227,7782.81,3970.82,1.97
"Forsyth County, NC",HD01_VD06,2015,Estimate; Lower Limit of Top 5 Percent,190674,17743.66,9052.89,4.75
"Guilford County, NC",HD01_VD06,2015,Estimate; Lower Limit of Top 5 Percent,191697,16249.53,8290.58,4.32
United States,HD01_VD02,2016,Estimate; Quintile Upper Limits: - Lowest Quintile,23638,85.79,43.77,0.19
North Carolina,HD01_VD02,2016,Estimate; Quintile Upper Limits: - Lowest Quintile,21208,322.89,164.74,0.78
"Durham County, NC",HD01_VD02,2016,Estimate; Quintile Upper Limits: - Lowest Quintile,24229,3716.26,1896.05,7.83
"Forsyth County, NC",HD01_VD02,2016,Estimate; Quintile Upper Limits: - Lowest Quintile,20257,1688.34,861.4,4.25
"Guilford County, NC",HD01_VD02,2016,Estimate; Quintile Upper Limits: - Lowest Quintile,19388,1699.06,866.87,4.47
United States,HD01_VD03,2016,Estimate; Quintile Upper Limits: - Second Quintile,45325,94.13,48.03,0.11
North Carolina,HD01_VD03,2016,Estimate; Quintile Upper Limits: - Second Quintile,40144,357.45,182.37,0.45
"Durham County, NC",HD01_VD03,2016,Estimate; Quintile Upper Limits: - Second Quintile,42444,2069.62,1055.93,2.49
"Forsyth County, NC",HD01_VD03,2016,Estimate; Quintile Upper Limits: - Second Quintile,37845,2657.02,1355.62,3.58
"Guilford County, NC",HD01_VD03,2016,Estimate; Quintile Upper Limits: - Second Quintile,36871,2056.51,1049.24,2.85
United States,HD01_VD04,2016,Estimate; Quintile Upper Limits: - Third Quintile,72384,102.47,52.28,0.07
North Carolina,HD01_VD04,2016,Estimate; Quintile Upper Limits: - Third Quintile,62826,713.7,364.13,0.58
"Durham County, NC",HD01_VD04,2016,Estimate; Quintile Upper Limits: - Third Quintile,68974,4476.43,2283.89,3.31
"Forsyth County, NC",HD01_VD04,2016,Estimate; Quintile Upper Limits: - Third Quintile,60195,2319.83,1183.59,1.97
"Guilford County, NC",HD01_VD04,2016,Estimate; Quintile Upper Limits: - Third Quintile,59185,2836.94,1447.42,2.45
United States,HD01_VD05,2016,Estimate; Quintile Upper Limits: - Fourth Quintile,116614,166.81,85.11,0.07
North Carolina,HD01_VD05,2016,Estimate; Quintile Upper Limits: - Fourth Quintile,100454,718.47,366.57,0.36
"Durham County, NC",HD01_VD05,2016,Estimate; Quintile Upper Limits: - Fourth Quintile,110839,7539.74,3846.81,3.47
"Forsyth County, NC",HD01_VD05,2016,Estimate; Quintile Upper Limits: - Fourth Quintile,97453,3431.49,1750.76,1.8
"Guilford County, NC",HD01_VD05,2016,Estimate; Quintile Upper Limits: - Fourth Quintile,99455,5648.85,2882.07,2.9
United States,HD01_VD06,2016,Estimate; Lower Limit of Top 5 Percent,219851,704.17,359.27,0.16
North Carolina,HD01_VD06,2016,Estimate; Lower Limit of Top 5 Percent,188222,3485.11,1778.12,0.94
"Durham County, NC",HD01_VD06,2016,Estimate; Lower Limit of Top 5 Percent,204583,12247.32,6248.63,3.05
"Forsyth County, NC",HD01_VD06,2016,Estimate; Lower Limit of Top 5 Percent,200361,20485.28,10451.67,5.22
"Guilford County, NC",HD01_VD06,2016,Estimate; Lower Limit of Top 5 Percent,194052,15820.6,8071.73,4.16
United States,HD01_VD02,2017,Estimate; Quintile Upper Limits: - Lowest Quintile,24625,84.6,43.16,0.18
North Carolina,HD01_VD02,2017,Estimate; Quintile Upper Limits: - Lowest Quintile,22302,324.09,165.35,0.74
"Durham County, NC",HD01_VD02,2017,Estimate; Quintile Upper Limits: - Lowest Quintile,25021,2083.91,1063.22,4.25
"Forsyth County, NC",HD01_VD02,2017,Estimate; Quintile Upper Limits: - Lowest Quintile,20273,1838.47,937.99,4.63
"Guilford County, NC",HD01_VD02,2017,Estimate; Quintile Upper Limits: - Lowest Quintile,22845,1869.45,953.8,4.18
United States,HD01_VD03,2017,Estimate; Quintile Upper Limits: - Second Quintile,47169,113.19,57.75,0.12
North Carolina,HD01_VD03,2017,Estimate; Quintile Upper Limits: - Second Quintile,41739,427.74,218.23,0.52
"Durham County, NC",HD01_VD03,2017,Estimate; Quintile Upper Limits: - Second Quintile,46864,3208.68,1637.08,3.49
"Forsyth County, NC",HD01_VD03,2017,Estimate; Quintile Upper Limits: - Second Quintile,38981,2155.4,1099.69,2.82
"Guilford County, NC",HD01_VD03,2017,Estimate; Quintile Upper Limits: - Second Quintile,41254,1784.85,910.64,2.21
United States,HD01_VD04,2017,Estimate; Quintile Upper Limits: - Third Quintile,75494,138.21,70.52,0.09
North Carolina,HD01_VD04,2017,Estimate; Quintile Upper Limits: - Third Quintile,66158,579.06,295.44,0.45
"Durham County, NC",HD01_VD04,2017,Estimate; Quintile Upper Limits: - Third Quintile,76767,5191.32,2648.63,3.45
"Forsyth County, NC",HD01_VD04,2017,Estimate; Quintile Upper Limits: - Third Quintile,63466,3598.3,1835.87,2.89
"Guilford County, NC",HD01_VD04,2017,Estimate; Quintile Upper Limits: - Third Quintile,65373,2788.09,1422.49,2.18
United States,HD01_VD05,2017,Estimate; Quintile Upper Limits: - Fourth Quintile,121116,157.28,80.24,0.07
North Carolina,HD01_VD05,2017,Estimate; Quintile Upper Limits: - Fourth Quintile,105929,1044.94,533.13,0.5
"Durham County, NC",HD01_VD05,2017,Estimate; Quintile Upper Limits: - Fourth Quintile,124086,5887.15,3003.65,2.42
"Forsyth County, NC",HD01_VD05,2017,Estimate; Quintile Upper Limits: - Fourth Quintile,103501,6003.91,3063.22,2.96
"Guilford County, NC",HD01_VD05,2017,Estimate; Quintile Upper Limits: - Fourth Quintile,102688,4771.91,2434.65,2.37
United States,HD01_VD06,2017,Estimate; Lower Limit of Top 5 Percent,228190,617.19,314.89,0.14
North Carolina,HD01_VD06,2017,Estimate; Lower Limit of Top 5 Percent,198193,3137.19,1600.61,0.81
"Durham County, NC",HD01_VD06,2017,Estimate; Lower Limit of Top 5 Percent,225366,19592.85,9996.35,4.44
"Forsyth County, NC",HD01_VD06,2017,Estimate; Lower Limit of Top 5 Percent,201795,16373.45,8353.8,4.14
"Guilford County, NC",HD01_VD06,2017,Estimate; Lower Limit of Top 5 Percent,191193,10165.79,5186.63,2.71
